time,latitude,longitude
1570866011721,30.636735,104.090202
1570866011727,30.636735,104.090202
1570866012735,30.636705,104.090187
1570866012744,30.636705,104.090187
1570866012754,30.636705,104.090187
1570866012760,30.636705,104.090187
1570866013700,30.636672,104.090171
1570866013706,30.636672,104.090171
1570866013712,30.636672,104.090171
1570866013718,30.636672,104.090171
1570866014720,30.636636,104.090154
1570866014727,30.636636,104.090154
1570866014733,30.636636,104.090154
1570866014743,30.636636,104.090154
1570866015717,30.636596,104.090136
1570866015725,30.636596,104.090136
1570866015732,30.636596,104.090136
1570866015740,30.636596,104.090136
1570866016717,30.636557,104.090118
1570866016723,30.636557,104.090118
1570866016729,30.636557,104.090118
1570866016737,30.636557,104.090118
1570866017712,30.63652,104.090103
1570866017720,30.63652,104.090103
1570866017727,30.63652,104.090103
1570866017733,30.63652,104.090103
1570866018711,30.63648,104.090089
1570866018721,30.63648,104.090089
1570866018728,30.63648,104.090089
1570866018736,30.63648,104.090089
1570866019708,30.636439,104.090076
1570866019715,30.636439,104.090076
1570866019721,30.636439,104.090076
1570866019727,30.636439,104.090076
1570866020724,30.636399,104.090062
1570866020729,30.636399,104.090062
1570866020736,30.636399,104.090062
1570866020741,30.636399,104.090062
1570866021697,30.63636,104.090046
1570866021709,30.63636,104.090046
1570866021732,30.63636,104.090046
1570866021741,30.63636,104.090046
1570866022726,30.636322,104.090027
1570866022732,30.636322,104.090027
1570866022742,30.636322,104.090027
1570866022753,30.636322,104.090027
1570866023702,30.636291,104.090014
1570866023707,30.636291,104.090014
1570866023716,30.636291,104.090014
1570866023722,30.636291,104.090014
1570866024114,30.636291,104.090014
1570866024121,30.636291,104.090014
1570866024130,30.636291,104.090014
1570866024136,30.636291,104.090014
1570866024740,30.636263,104.090002
1570866024747,30.636263,104.090002
1570866024754,30.636263,104.090002
1570866024760,30.636263,104.090002
1570866025706,30.636229,104.089988
1570866025715,30.636229,104.089988
1570866025721,30.636229,104.089988
1570866025729,30.636229,104.089988
1570866026725,30.636192,104.089971
1570866026730,30.636192,104.089971
1570866026735,30.636192,104.089971
1570866026745,30.636192,104.089971
1570866027718,30.636158,104.089954
1570866027724,30.636158,104.089954
1570866027730,30.636158,104.089954
1570866027740,30.636158,104.089954
1570866028708,30.63613,104.089936
1570866028716,30.63613,104.089936
1570866028725,30.63613,104.089936
1570866028732,30.63613,104.089936
1570866029720,30.636094,104.089916
1570866029732,30.636094,104.089916
1570866029738,30.636094,104.089916
1570866029746,30.636094,104.089916
1570866030713,30.63605,104.089893
1570866030721,30.63605,104.089893
1570866030730,30.63605,104.089893
1570866030741,30.63605,104.089893
1570866031718,30.636012,104.089866
1570866031730,30.636012,104.089866
1570866031738,30.636012,104.089866
1570866031746,30.636012,104.089866
1570866032718,30.635974,104.089841
1570866032725,30.635974,104.089841
1570866032731,30.635974,104.089841
1570866032740,30.635974,104.089841
1570866033698,30.635932,104.089816
1570866033711,30.635932,104.089816
1570866033717,30.635932,104.089816
1570866033724,30.635932,104.089816
1570866034717,30.635886,104.089794
1570866034725,30.635886,104.089794
1570866034733,30.635886,104.089794
1570866034740,30.635886,104.089794
1570866035698,30.635843,104.089772
1570866035707,30.635843,104.089772
1570866035712,30.635843,104.089772
1570866035719,30.635843,104.089772
1570866036699,30.635799,104.089752
1570866036712,30.635799,104.089752
1570866036718,30.635799,104.089752
1570866036725,30.635799,104.089752
1570866037711,30.635758,104.089734
1570866037717,30.635758,104.089734
1570866037723,30.635758,104.089734
1570866037733,30.635758,104.089734
1570866038706,30.63572,104.089719
1570866038714,30.63572,104.089719
1570866038724,30.63572,104.089719
1570866038730,30.63572,104.089719
1570866039707,30.635683,104.089703
1570866039715,30.635683,104.089703
1570866039721,30.635683,104.089703
1570866039729,30.635683,104.089703
1570866040728,30.635643,104.089684
1570866040734,30.635643,104.089684
1570866040739,30.635643,104.089684
1570866040746,30.635643,104.089684
1570866041712,30.635604,104.089663
1570866041720,30.635604,104.089663
1570866041727,30.635604,104.089663
1570866041736,30.635604,104.089663
1570866042729,30.635567,104.089642
1570866042735,30.635567,104.089642
1570866042742,30.635567,104.089642
1570866042762,30.635567,104.089642
1570866043701,30.635529,104.089621
1570866043708,30.635529,104.089621
1570866043717,30.635529,104.089621
1570866043723,30.635529,104.089621
1570866044701,30.635489,104.0896
1570866044711,30.635489,104.0896
1570866044717,30.635489,104.0896
1570866044722,30.635489,104.0896
1570866045707,30.635452,104.089583
1570866045716,30.635452,104.089583
1570866045724,30.635452,104.089583
1570866045731,30.635452,104.089583
1570866046080,30.635452,104.089583
1570866046089,30.635452,104.089583
1570866046101,30.635452,104.089583
1570866046111,30.635452,104.089583
1570866046715,30.635412,104.08957
1570866046724,30.635412,104.08957
1570866046735,30.635412,104.08957
1570866046739,30.635412,104.08957
1570866047707,30.635372,104.089557
1570866047716,30.635372,104.089557
1570866047727,30.635372,104.089557
1570866047734,30.635372,104.089557
1570866048724,30.635337,104.089548
1570866048737,30.635337,104.089548
1570866048745,30.635337,104.089548
1570866048751,30.635337,104.089548
1570866049720,30.6353,104.089537
1570866049731,30.6353,104.089537
1570866049739,30.6353,104.089537
1570866049748,30.6353,104.089537
1570866050721,30.635264,104.089522
1570866050728,30.635264,104.089522
1570866050734,30.635264,104.089522
1570866050740,30.635264,104.089522
1570866051707,30.635224,104.089503
1570866051714,30.635224,104.089503
1570866051721,30.635224,104.089503
1570866051727,30.635224,104.089503
1570866052714,30.635183,104.089483
1570866052722,30.635183,104.089483
1570866052728,30.635183,104.089483
1570866052735,30.635183,104.089483
1570866053724,30.635149,104.089466
1570866053732,30.635149,104.089466
1570866053738,30.635149,104.089466
1570866053745,30.635149,104.089466
1570866054708,30.635115,104.089452
1570866054717,30.635115,104.089452
1570866054724,30.635115,104.089452
1570866054729,30.635115,104.089452
1570866055706,30.63508,104.089437
1570866055717,30.63508,104.089437
1570866055724,30.63508,104.089437
1570866055731,30.63508,104.089437
1570866056712,30.635041,104.089424
1570866056725,30.635041,104.089424
1570866056731,30.635041,104.089424
1570866056737,30.635041,104.089424
1570866057707,30.635002,104.089413
1570866057715,30.635002,104.089413
1570866057720,30.635002,104.089413
1570866057725,30.635002,104.089413
1570866058716,30.634963,104.089402
1570866058727,30.634963,104.089402
1570866058734,30.634963,104.089402
1570866058740,30.634963,104.089402
1570866059709,30.634928,104.089389
1570866059717,30.634928,104.089389
1570866059724,30.634928,104.089389
1570866059729,30.634928,104.089389
1570866060699,30.634892,104.089375
1570866060708,30.634892,104.089375
1570866060715,30.634892,104.089375
1570866060724,30.634892,104.089375
1570866061690,30.634857,104.089361
1570866061696,30.634857,104.089361
1570866061702,30.634857,104.089361
1570866061708,30.634857,104.089361
1570866062712,30.634825,104.089345
1570866062728,30.634825,104.089345
1570866062735,30.634825,104.089345
1570866062742,30.634825,104.089345
1570866063718,30.634792,104.089325
1570866063724,30.634792,104.089325
1570866063731,30.634792,104.089325
1570866063737,30.634792,104.089325
1570866064704,30.634759,104.089303
1570866064716,30.634759,104.089303
1570866064722,30.634759,104.089303
1570866064728,30.634759,104.089303
1570866065711,30.634723,104.089282
1570866065718,30.634723,104.089282
1570866065725,30.634723,104.089282
1570866065732,30.634723,104.089282
1570866066715,30.634686,104.089263
1570866066723,30.634686,104.089263
1570866066729,30.634686,104.089263
1570866066735,30.634686,104.089263
1570866067700,30.634647,104.089246
1570866067708,30.634647,104.089246
1570866067714,30.634647,104.089246
1570866067722,30.634647,104.089246
1570866068711,30.634607,104.089231
1570866068723,30.634607,104.089231
1570866068728,30.634607,104.089231
1570866068734,30.634607,104.089231
1570866069703,30.634566,104.089219
1570866069710,30.634566,104.089219
1570866069717,30.634566,104.089219
1570866069721,30.634566,104.089219
1570866070085,30.634566,104.089219
1570866070096,30.634566,104.089219
1570866070116,30.634566,104.089219
1570866070124,30.634566,104.089219
1570866070718,30.634526,104.089205
1570866070729,30.634526,104.089205
1570866070734,30.634526,104.089205
1570866070740,30.634526,104.089205
1570866071696,30.634486,104.089186
1570866071702,30.634486,104.089186
1570866071709,30.634486,104.089186
1570866071714,30.634486,104.089186
1570866072708,30.634436,104.089167
1570866072717,30.634436,104.089167
1570866072722,30.634436,104.089167
1570866072726,30.634436,104.089167
1570866073708,30.634397,104.089145
1570866073717,30.634397,104.089145
1570866073723,30.634397,104.089145
1570866073731,30.634397,104.089145
1570866074713,30.634378,104.089141
1570866074723,30.634378,104.089141
1570866074746,30.634378,104.089141
1570866074752,30.634378,104.089141
1570866075695,30.634333,104.089117
1570866075701,30.634333,104.089117
1570866075707,30.634333,104.089117
1570866075716,30.634333,104.089117
1570866076712,30.634298,104.089105
1570866076726,30.634298,104.089105
1570866076731,30.634298,104.089105
1570866076739,30.634298,104.089105
1570866077709,30.63426,104.089085
1570866077716,30.63426,104.089085
1570866077723,30.63426,104.089085
1570866077730,30.63426,104.089085
1570866078710,30.634232,104.089063
1570866078719,30.634232,104.089063
1570866078726,30.634232,104.089063
1570866078731,30.634232,104.089063
1570866079742,30.634197,104.089044
1570866079749,30.634197,104.089044
1570866079757,30.634197,104.089044
1570866079765,30.634197,104.089044
1570866080719,30.634162,104.089032
1570866080732,30.634162,104.089032
1570866080737,30.634162,104.089032
1570866080742,30.634162,104.089032
1570866081708,30.634127,104.089015
1570866081716,30.634127,104.089015
1570866081724,30.634127,104.089015
1570866081731,30.634127,104.089015
1570866082718,30.634099,104.08899
1570866082730,30.634099,104.08899
1570866082736,30.634099,104.08899
1570866082743,30.634099,104.08899
1570866083722,30.634078,104.088973
1570866083730,30.634078,104.088973
1570866083733,30.634078,104.088973
1570866083737,30.634078,104.088973
1570866084717,30.634065,104.088947
1570866084722,30.634065,104.088947
1570866084728,30.634065,104.088947
1570866084737,30.634065,104.088947
1570866085711,30.634057,104.088928
1570866085725,30.634057,104.088928
1570866085731,30.634057,104.088928
1570866085737,30.634057,104.088928
1570866086714,30.634057,104.088909
1570866086722,30.634057,104.088909
1570866086729,30.634057,104.088909
1570866086762,30.634057,104.088909
1570866087710,30.634064,104.088888
1570866087719,30.634064,104.088888
1570866087726,30.634064,104.088888
1570866087733,30.634064,104.088888
1570866088719,30.634078,104.088862
1570866088725,30.634078,104.088862
1570866088733,30.634078,104.088862
1570866088738,30.634078,104.088862
1570866089676,30.634096,104.088833
1570866089680,30.634096,104.088833
1570866089683,30.634096,104.088833
1570866089685,30.634096,104.088833
1570866090698,30.634114,104.088807
1570866090704,30.634114,104.088807
1570866090710,30.634114,104.088807
1570866090717,30.634114,104.088807
1570866091701,30.634133,104.088782
1570866091709,30.634133,104.088782
1570866091715,30.634133,104.088782
1570866091722,30.634133,104.088782
1570866092703,30.634156,104.088761
1570866092708,30.634156,104.088761
1570866092716,30.634156,104.088761
1570866092723,30.634156,104.088761
1570866093710,30.63418,104.088742
1570866093719,30.63418,104.088742
1570866093724,30.63418,104.088742
1570866093731,30.63418,104.088742
1570866094714,30.634204,104.088725
1570866094722,30.634204,104.088725
1570866094728,30.634204,104.088725
1570866094736,30.634204,104.088725
1570866095709,30.63423,104.08871
1570866095716,30.63423,104.08871
1570866095723,30.63423,104.08871
1570866095729,30.63423,104.08871
1570866096718,30.634254,104.088695
1570866096727,30.634254,104.088695
1570866096751,30.634254,104.088695
1570866096757,30.634254,104.088695
1570866097710,30.63428,104.088679
1570866097722,30.63428,104.088679
1570866097730,30.63428,104.088679
1570866097737,30.63428,104.088679
1570866098701,30.634305,104.088661
1570866098708,30.634305,104.088661
1570866098714,30.634305,104.088661
1570866098721,30.634305,104.088661
1570866099710,30.634327,104.088646
1570866099718,30.634327,104.088646
1570866099727,30.634327,104.088646
1570866099734,30.634327,104.088646
1570866100712,30.634351,104.088633
1570866100719,30.634351,104.088633
1570866100727,30.634351,104.088633
1570866100733,30.634351,104.088633
1570866101715,30.634378,104.088619
1570866101725,30.634378,104.088619
1570866101731,30.634378,104.088619
1570866101737,30.634378,104.088619
1570866102718,30.634411,104.088606
1570866102726,30.634411,104.088606
1570866102743,30.634411,104.088606
1570866102753,30.634411,104.088606
1570866103711,30.634443,104.088591
1570866103717,30.634443,104.088591
1570866103724,30.634443,104.088591
1570866103729,30.634443,104.088591
1570866104722,30.634475,104.088574
1570866104729,30.634475,104.088574
1570866104738,30.634475,104.088574
1570866104745,30.634475,104.088574
1570866105714,30.634507,104.088555
1570866105721,30.634507,104.088555
1570866105729,30.634507,104.088555
1570866105735,30.634507,104.088555
1570866106707,30.634539,104.088534
1570866106716,30.634539,104.088534
1570866106722,30.634539,104.088534
1570866106728,30.634539,104.088534
1570866107708,30.63457,104.088514
1570866107715,30.63457,104.088514
1570866107720,30.63457,104.088514
1570866107727,30.63457,104.088514
1570866108714,30.634601,104.088492
1570866108720,30.634601,104.088492
1570866108726,30.634601,104.088492
1570866108735,30.634601,104.088492
1570866109706,30.634633,104.088469
1570866109715,30.634633,104.088469
1570866109722,30.634633,104.088469
1570866109735,30.634633,104.088469
1570866110714,30.634665,104.088445
1570866110722,30.634665,104.088445
1570866110729,30.634665,104.088445
1570866110735,30.634665,104.088445
1570866111706,30.634693,104.088423
1570866111715,30.634693,104.088423
1570866111721,30.634693,104.088423
1570866111730,30.634693,104.088423
1570866112712,30.634723,104.0884
1570866112717,30.634723,104.0884
1570866112726,30.634723,104.0884
1570866112733,30.634723,104.0884
1570866113724,30.634753,104.088378
1570866113729,30.634753,104.088378
1570866113736,30.634753,104.088378
1570866113739,30.634753,104.088378
1570866114735,30.634775,104.088359
1570866114743,30.634775,104.088359
1570866114751,30.634775,104.088359
1570866114755,30.634775,104.088359
1570866115716,30.634787,104.08834
1570866115725,30.634787,104.08834
1570866115730,30.634787,104.08834
1570866115737,30.634787,104.08834
1570866116717,30.634804,104.088321
1570866116723,30.634804,104.088321
1570866116729,30.634804,104.088321
1570866116734,30.634804,104.088321
1570866117714,30.634825,104.088303
1570866117721,30.634825,104.088303
1570866117731,30.634825,104.088303
1570866117746,30.634825,104.088303
1570866118713,30.634851,104.088287
1570866118717,30.634851,104.088287
1570866118723,30.634851,104.088287
1570866118728,30.634851,104.088287
1570866119712,30.634883,104.088274
1570866119723,30.634883,104.088274
1570866119728,30.634883,104.088274
1570866119732,30.634883,104.088274
1570866120714,30.634914,104.088263
1570866120722,30.634914,104.088263
1570866120729,30.634914,104.088263
1570866120739,30.634914,104.088263
1570866121693,30.634943,104.088253
1570866121700,30.634943,104.088253
1570866121709,30.634943,104.088253
1570866121715,30.634943,104.088253
1570866122017,30.634943,104.088253
1570866122026,30.634943,104.088253
1570866122031,30.634943,104.088253
1570866122035,30.634943,104.088253
1570866122729,30.634971,104.088243
1570866122742,30.634971,104.088243
1570866122751,30.634971,104.088243
1570866122755,30.634971,104.088243
1570866123710,30.634999,104.088233
1570866123717,30.634999,104.088233
1570866123725,30.634999,104.088233
1570866123733,30.634999,104.088233
1570866124703,30.635028,104.088223
1570866124713,30.635028,104.088223
1570866124720,30.635028,104.088223
1570866124725,30.635028,104.088223
1570866125702,30.635059,104.088212
1570866125718,30.635059,104.088212
1570866125726,30.635059,104.088212
1570866125755,30.635059,104.088212
1570866126730,30.63509,104.088203
1570866126740,30.63509,104.088203
1570866126753,30.63509,104.088203
1570866126779,30.63509,104.088203
1570866127703,30.635122,104.088191
1570866127710,30.635122,104.088191
1570866127716,30.635122,104.088191
1570866127721,30.635122,104.088191
1570866128718,30.635155,104.08818
1570866128724,30.635155,104.08818
1570866128731,30.635155,104.08818
1570866128737,30.635155,104.08818
1570866129713,30.635188,104.088168
1570866129720,30.635188,104.088168
1570866129726,30.635188,104.088168
1570866129736,30.635188,104.088168
1570866130709,30.635222,104.088152
1570866130717,30.635222,104.088152
1570866130728,30.635222,104.088152
1570866130735,30.635222,104.088152
1570866131699,30.635253,104.088135
1570866131706,30.635253,104.088135
1570866131712,30.635253,104.088135
1570866131718,30.635253,104.088135
1570866132706,30.635282,104.088117
1570866132716,30.635282,104.088117
1570866132723,30.635282,104.088117
1570866132729,30.635282,104.088117
1570866133727,30.635315,104.088096
1570866133736,30.635315,104.088096
1570866133746,30.635315,104.088096
1570866133752,30.635315,104.088096
1570866134719,30.635349,104.088075
